Fan Club MkIV data log started on Sun 05 May 2019 18:30:07  using profile "Prov. Cory Hall Array" with up to 4 fans per module.
Modules: |1: A1 - "00:80:e1:38:00:2a" | 2: A2 - "00:80:e1:45:00:46" | 
Column headers are of the form MODULE#-FAN# with all RPMs and then all DCs
Time (s),1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,
1.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.5e+01s,1550,1321,0,0,621,696,0,0,0.729,0.729,0.0,0.0,0.4048,0.4048,0.0,0.0,
1.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.5e+01s,2434,2160,0,0,1204,1016,0,0,0.8987,0.8987,0.0,0.0,0.729,0.729,0.0,0.0,
1.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.5e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.6e+01s,3068,2838,0,0,2312,1986,0,0,0.9882,0.9882,0.0,0.0,0.8987,0.8987,0.0,0.0,
1.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.6e+01s,3436,3270,0,0,-69,-69,-69,-69,0.9894,0.9894,0.0,0.0,-69,-69,-69,-69,
1.6e+01s,-69,-69,-69,-69,2974,2651,0,0,-69,-69,-69,-69,0.9882,0.9882,0.0,0.0,
1.6e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.7e+01s,3529,3453,0,0,-69,-69,-69,-69,0.9022,0.9022,0.0,0.0,-69,-69,-69,-69,
1.7e+01s,-69,-69,-69,-69,3372,3082,0,0,-69,-69,-69,-69,0.9894,0.9894,0.0,0.0,
1.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.7e+01s,3335,3330,0,0,-69,-69,-69,-69,0.7344,0.7344,0.0,0.0,-69,-69,-69,-69,
1.7e+01s,-69,-69,-69,-69,3474,3266,0,0,-69,-69,-69,-69,0.9022,0.9022,0.0,0.0,
1.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.7e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.8e+01s,2881,2930,0,0,-69,-69,-69,-69,0.501,0.501,0.0,0.0,-69,-69,-69,-69,
1.8e+01s,-69,-69,-69,-69,3274,3143,0,0,-69,-69,-69,-69,0.7344,0.7344,0.0,0.0,
1.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.8e+01s,2129,2206,0,0,2800,2738,0,0,0.2229,0.2229,0.0,0.0,0.501,0.501,0.0,0.0,
1.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.8e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.9e+01s,1100,1189,0,0,2039,2034,0,0,0.0752,0.0752,0.0,0.0,0.2229,0.2229,0.0,0.0,
1.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.9e+01s,572,626,0,0,960,950,0,0,0.4575,0.4575,0.0,0.0,0.0752,0.0752,0.0,0.0,
1.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
1.9e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2e+01s,1407,1190,0,0,-69,-69,-69,-69,0.6999,0.6999,0.0,0.0,-69,-69,-69,-69,
2e+01s,-69,-69,-69,-69,525,558,0,0,-69,-69,-69,-69,0.4575,0.4575,0.0,0.0,
2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2e+01s,2333,2053,0,0,-69,-69,-69,-69,0.8797,0.8797,0.0,0.0,-69,-69,-69,-69,
2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2e+01s,-69,-69,-69,-69,1350,1117,0,0,-69,-69,-69,-69,0.6999,0.6999,0.0,0.0,
2.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.1e+01s,3020,2792,0,0,-69,-69,-69,-69,0.9809,0.9809,0.0,0.0,-69,-69,-69,-69,
2.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.1e+01s,-69,-69,-69,-69,2247,1904,0,0,-69,-69,-69,-69,0.8797,0.8797,0.0,0.0,
2.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.1e+01s,3434,3273,0,0,-69,-69,-69,-69,0.9946,0.9946,0.0,0.0,-69,-69,-69,-69,
2.1e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.1e+01s,-69,-69,-69,-69,2930,2595,0,0,-69,-69,-69,-69,0.9809,0.9809,0.0,0.0,
2.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.2e+01s,3582,3501,0,0,-69,-69,-69,-69,0.9193,0.9193,0.0,0.0,-69,-69,-69,-69,
2.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.2e+01s,-69,-69,-69,-69,3364,3069,0,0,-69,-69,-69,-69,0.9946,0.9946,0.0,0.0,
2.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.2e+01s,3419,3415,0,0,-69,-69,-69,-69,0.762,0.762,0.0,0.0,-69,-69,-69,-69,
2.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.2e+01s,-69,-69,-69,-69,3516,3300,0,0,-69,-69,-69,-69,0.9193,0.9193,0.0,0.0,
2.2e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.3e+01s,2989,3026,0,0,-69,-69,-69,-69,0.5366,0.5366,0.0,0.0,-69,-69,-69,-69,
2.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.3e+01s,-69,-69,-69,-69,3354,3214,0,0,-69,-69,-69,-69,0.762,0.762,0.0,0.0,
2.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.3e+01s,2276,2341,0,0,-69,-69,-69,-69,0.2632,0.2632,0.0,0.0,-69,-69,-69,-69,
2.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.3e+01s,-69,-69,-69,-69,2905,2839,0,0,-69,-69,-69,-69,0.5366,0.5366,0.0,0.0,
2.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.3e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.4e+01s,1258,1331,0,0,-69,-69,-69,-69,0.0336,0.0336,0.0,0.0,-69,-69,-69,-69,
2.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
2.4e+01s,-69,-69,-69,-69,2179,2163,0,0,-69,-69,-69,-69,0.2632,0.2632,0.0,0.0,
2.4e+01s,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,
